Trade Date;Close
17/9/2018;8.56
18/9/2018;8.6
19/9/2018;8.64
20/9/2018;8.59
21/9/2018;8.77
24/9/2018;8.7
25/9/2018;8.8
26/9/2018;8.81
27/9/2018;8.88
28/9/2018;8.71
1/10/2018;8.71
2/10/2018;8.63
3/10/2018;8.53
4/10/2018;8.61
5/10/2018;8.42
8/10/2018;8.24
9/10/2018;8.06
10/10/2018;8.08
11/10/2018;8.07
12/10/2018;8.09
15/10/2018;8.18
16/10/2018;8.31
17/10/2018;8.22
18/10/2018;8.16
19/10/2018;8.07
22/10/2018;8.11
23/10/2018;8.03
24/10/2018;8.13
25/10/2018;8.12
26/10/2018;8.12
29/10/2018;8.17
30/10/2018;8.14
31/10/2018;8.18
1/11/2018;8.01
2/11/2018;7.99
6/11/2018;8.1
7/11/2018;8.19
8/11/2018;8.16
9/11/2018;8.21
12/11/2018;8.14
13/11/2018;8.23
14/11/2018;8.16
15/11/2018;8.13
16/11/2018;8.07
19/11/2018;7.96
20/11/2018;7.72
21/11/2018;7.77
22/11/2018;7.76
23/11/2018;7.79
26/11/2018;7.81
27/11/2018;7.81
28/11/2018;7.82
29/11/2018;7.98
30/11/2018;8.1
3/12/2018;8.37
4/12/2018;8.32
5/12/2018;8.3
6/12/2018;8.27
7/12/2018;8.24
10/12/2018;8.16
11/12/2018;8.12
12/12/2018;8.2
13/12/2018;8.21
14/12/2018;8.17
17/12/2018;8.06
18/12/2018;7.98
19/12/2018;7.93
20/12/2018;7.91
24/12/2018;7.92
27/12/2018;7.75
28/12/2018;7.79
31/12/2018;7.89
2/1/2019;7.81
3/1/2019;7.84
4/1/2019;7.9
7/1/2019;7.98
8/1/2019;8.02
9/1/2019;8.08
10/1/2019;8.05
11/1/2019;8.1
14/1/2019;8.06
15/1/2019;8.04
16/1/2019;8.07
17/1/2019;8.08
18/1/2019;8.11
21/1/2019;8.15
22/1/2019;8.19
23/1/2019;8.19
24/1/2019;8.17
25/1/2019;8.22
28/1/2019;8.18
30/1/2019;8.28
31/1/2019;8.28
1/2/2019;8.32
4/2/2019;8.37
5/2/2019;8.41
6/2/2019;8.44
7/2/2019;8.37
8/2/2019;8.44
11/2/2019;8.48
12/2/2019;8.45
13/2/2019;8.47
14/2/2019;8.5
15/2/2019;8.5
18/2/2019;8.54
19/2/2019;8.52
20/2/2019;8.57
21/2/2019;8.59
22/2/2019;8.59
25/2/2019;8.59
26/2/2019;8.62
27/2/2019;8.66
28/2/2019;8.7
1/3/2019;8.76
4/3/2019;8.71
5/3/2019;8.67
6/3/2019;8.69
7/3/2019;8.64
8/3/2019;8.57
12/3/2019;8.61
13/3/2019;8.66
14/3/2019;8.73
15/3/2019;8.74
18/3/2019;8.75
19/3/2019;8.67
20/3/2019;8.72
22/3/2019;8.65
26/3/2019;8.73
27/3/2019;8.74
28/3/2019;8.72
29/3/2019;8.82
1/4/2019;8.93
2/4/2019;8.96
3/4/2019;8.99
4/4/2019;8.96
5/4/2019;9.03
8/4/2019;9.03
9/4/2019;9.02
10/4/2019;9.04
11/4/2019;9.11
12/4/2019;9.15
15/4/2019;9.26
16/4/2019;9.33
17/4/2019;9.34
18/4/2019;9.35
19/4/2019;9.35
22/4/2019;9.35
23/4/2019;9.34
24/4/2019;9.3
25/4/2019;9.29
30/4/2019;9.29
2/5/2019;9.35
3/5/2019;9.39
6/5/2019;9.18
7/5/2019;9.24
8/5/2019;9.09
9/5/2019;8.95
10/5/2019;9.02
13/5/2019;8.95
14/5/2019;9.01
15/5/2019;8.91
16/5/2019;8.95
17/5/2019;8.97
20/5/2019;8.88
21/5/2019;9.01
22/5/2019;9
23/5/2019;8.92
24/5/2019;8.98
27/5/2019;9.38
28/5/2019;9.57
29/5/2019;9.45
30/5/2019;9.65
31/5/2019;9.7
3/6/2019;9.74
4/6/2019;9.57
5/6/2019;9.65
6/6/2019;9.65
7/6/2019;9.67
